Username,Likes Avg.,Followers,Comments Avg.,Engagement Rate (60 Days),Friends with other famous influencer,Posting frequency (last 60 days)
cristiano,8671952.6875,465027234,51758.33092659446,0.0159030927931213,0,0
kyliejenner,8296735.662500001,356687629,47534.12096106048,0.0161886350096952,0,0
leomessi,6895177.8125,347032978,47044.540305010894,0.0190450212750402,0,0
selenagomez,6252711.416666667,334551681,39167.115727002965,0.0077196615835974,0,0
therock,1874150.5038461536,327064138,8529.747042766152,0.0037225454671269,0,0
kimkardashian,3536820.0625,323090977,16964.807439824945,0.0096888634520251,0,0
arianagrande,3712125.9285714286,321374794,19077.731583403896,0.0101579095640005,0,0
beyonce,3627594.6666666665,267023539,24558.145400593472,0.0067705433500347,0,0
khloekardashian,2391194.0,260359924,10442.21153846154,0.0031117441866369,0,0
kendalljenner,5520992.5,247599374,21191.329923273657,0.0193389815470684,0,0
justinbieber,1887637.6785714289,247448517,10084.746268656716,0.0040423175168191,0,0
natgeo,304664.0,232020700,1225.2342857142858,0.0007261997482379,0,0
nike,333382.0,228524022,5520.935483870968,0.0007551843648689,0,0
taylorswift,2397441.0,218097325,334.73,0.017282584056588,0,0
jlo,1691841.5,217547805,11942.84,0.0054101553807396,0,0
virat.kohli,3472381.5,206743723,18090.06725663717,0.0113492347288479,0,0
nickiminaj,2161401.25,197697257,19624.634446397187,0.0063362570713985,0,0
kourtneykardash,1767538.4642857143,188868254,6616.927570093458,0.0126069938627344,0,0
mileycyrus,1311897.7,178122866,6343.567721005677,0.0091304482754349,0,0
neymarjr,2705534.4857142856,176162107,47.64193548387097,0.0122322483196002,0,0
katyperry,720700.2619047619,167005817,4824.74638487208,0.0021123329820722,0,0
kevinhart4real,533486.9166666667,148755284,3749.928125,0.0010465903132874,0,0
zendaya,5744110.0,147816903,16106.142857142857,0.056179011176568,0,0
iamcardib,3094440.722222222,137199449,18910.93456221198,0.0157132448179439,0,0
ddlovato,1146626.6666666667,136695965,9535.060975609756,0.0028282704388518,0,0
badgalriri,3691546.0,133436105,20974.19024390244,0.0291452489837314,0,0
kingjames,2102660.333333333,127326148,13785.983695652174,0.0099841763380461,0,0
theellenshow,424885.52218152216,123619409,3787.956893480584,0.0008623072747171,0,0
realmadrid,1009067.5405982904,121711711,3553.235075781008,0.0078479471621639,0,0
champagnepapi,1723164.25,116476688,83.42094455852155,0.0136451946931477,0,0
chrisbrownofficial,465597.390625,115007167,3862.719491035281,0.0031460514747664,0,0
fcbarcelona,1176560.049145299,109950457,4342.094240837696,0.0063550394555545,0,0
billieeilish,8520777.666666666,104462435,45267.4226519337,0.0488390503572724,0,0
dualipa,2091782.107142857,85085187,4827.426546391753,0.0165253073215409,0,0
