Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
218468,6260.41,65.48,2.8997,1.5104,74,0,74,0,1.392
165436,313.86,4.71,0.1926,0.1312,1,0,1,0,0.0
179537,1005.04,11.01,0.5659,0.2862,6,5,1,1,0.0
948482,21008.08,803.88,2.2997,3.2122,40,3,28,9,1.3
123017,6343.21,43.83,5.192,2.1932,5,0,2,3,1.0
103461,1436.19,25.13,1.4124,1.6838,65,0,61,4,6.877
589090,36428.64,531.69,6.2741,7.2407,135,0,134,1,0.0
358569,17493.26,136.41,4.9167,9.4484,10,0,9,1,0.2
315657,9432.58,214.94,3.0563,1.8537,29,0,29,0,8.69
106918,9621.86,182.19,9.1697,6.5626,109,0,109,0,0.0
223089,2904.56,112.55,1.3524,3.2092,53,0,53,0,5.0
173355,5970.29,284.3,3.608,1.6933,34,0,34,0,0.971
645355,14072.87,239.01,2.2177,2.972,64,0,63,1,0.984
150701,12224.16,426.46,8.3945,18.7821,30,2,28,0,0.933
158978,979.32,16.97,0.6267,0.3494,23,5,12,6,0.0
302213,3498.97,20.81,1.1647,0.3913,4,0,1,3,1.0
149567,25749.95,234.51,17.3731,26.7022,23,0,23,0,2.783
217470,20222.12,257.75,9.4173,15.8206,30,0,30,0,0.0
104123,3002.22,42.35,2.924,2.7597,51,3,41,7,8.255
705885,127287.37,726.23,18.1352,19.9922,20,1,12,7,0.1
232211,9975.56,369.1,4.4549,3.2741,18,0,16,2,4.333
597310,89801.29,957.88,15.1947,4.4763,20,2,17,1,0.0
161780,1093.76,22.27,0.6898,1.3513,114,24,74,16,5.868
422487,82076.86,314.91,19.5016,12.9522,19,0,13,6,1.421
187957,1594.55,43.4,0.8714,1.9667,58,6,46,6,0.0
395919,29817.99,673.51,7.7014,7.5269,54,1,49,4,0.167
214061,19938.57,66.94,9.3457,6.0215,38,0,27,11,6.868
117585,6373.44,68.15,5.4782,3.4391,59,0,59,0,2.254
1061034,54289.15,225.98,5.1379,6.0719,17,1,9,7,3.353
208056,46415.8,188.89,22.4001,42.9388,17,0,15,2,0.176
471261,18937.55,29.34,4.0247,7.024,368,235,35,98,1.179
177085,3300.79,19.04,1.8747,1.5736,67,26,38,3,1.925
485475,20800.6,55.21,4.296,4.5063,112,47,42,23,2.589
119898,39538.88,387.41,33.3002,45.8077,10,0,10,0,4.9
793270,21439.14,20.1,2.7052,2.7184,13,0,11,2,2.615
603885,38817.99,134.18,6.4503,3.065,7,0,6,1,6.0
531783,38118.29,522.31,7.2662,1.0334,21,0,21,0,1.0
245751,2390.91,41.35,0.9897,1.3217,43,4,32,7,9.419
761085,24337.3,160.83,3.2188,2.4735,29,0,29,0,10.517
160258,11888.64,210.0,7.5495,15.641,1,0,0,1,0.0
702890,9442.65,124.9,1.3612,1.9338,58,3,54,1,3.0
188884,18228.29,193.45,9.7529,15.8039,1,0,0,1,0.0
1033138,348532.61,376.72,33.7718,25.2409,4,0,2,2,5.0
465500,31836.1,261.06,6.8952,3.222,54,0,54,0,0.0
216814,17645.8,312.34,8.2827,13.5066,6,0,5,1,0.5
137038,23452.57,330.49,17.3551,37.9581,1,0,0,1,0.0
104815,18255.58,207.74,17.6152,23.7132,1,0,1,0,0.0
504985,9837.44,84.89,1.9649,5.0791,19,0,17,2,5.053
941747,35088.81,180.83,3.7451,5.7876,23,0,23,0,7.0
148133,4138.46,104.34,2.8642,3.307,12,1,6,5,5.5
548858,10541.58,110.83,1.9408,4.1399,38,4,30,4,4.079
892015,17117.47,93.06,1.9294,8.0462,29,6,21,2,0.214
681926,3545.91,69.55,0.5302,0.522,4,3,1,0,2.75
754419,4678.32,79.81,0.6307,0.5135,19,1,12,6,7.158
209838,11579.48,87.92,5.5602,2.8045,50,1,49,0,29.4
100121,9198.08,183.32,9.3701,19.2822,23,0,23,0,4.913
923530,7538.66,30.83,0.8196,0.6726,59,0,0,59,6.78
652413,175808.12,384.12,27.0062,14.2919,57,5,50,2,0.0
1016657,37850.71,329.6,3.7555,4.9451,22,3,16,3,0.364
207538,6597.81,72.42,3.214,4.4477,27,0,27,0,1.444
173313,3530.33,26.48,2.0522,4.3084,24,19,3,2,0.0
268059,12016.96,57.72,4.5045,2.8762,9,9,0,0,12.111
469440,29846.23,103.6,6.3799,6.1058,18,0,3,15,1.722
210815,4983.39,66.78,2.3955,3.077,124,0,124,0,4.081
401584,10137.65,13.32,2.5277,1.6625,31,31,0,0,15.484
110148,11175.28,180.33,10.3094,10.2531,16,0,14,2,6.063
184308,77305.54,123.08,42.0105,8.2525,26,1,24,1,7.423
916206,15997.03,133.2,1.7605,11.3509,48,14,28,6,0.25
206311,2464.2,19.66,1.2039,3.4352,23,0,23,0,4.435
150475,2219.32,49.51,1.5078,1.2239,62,1,61,0,0.0
303578,16628.36,66.65,5.4994,4.5332,81,2,66,13,0.222
