Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary),Hashtags_Count,Hashtags_Sum
218468,6260.41,65.48,2.8997,1.5104,74,0,74,0,1.392,"{'yollayuliana15': 51, 'yollayuliana': 51, 'ecaaura': 1}",3.0,103.0
165436,313.86,4.71,0.1926,0.1312,1,0,1,0,0.0,{},0.0,0.0
179537,1005.04,11.01,0.5659,0.2862,6,5,1,1,0.0,{},0.0,0.0
948482,21008.08,803.88,2.2997,3.2122,40,3,28,9,1.3,"{'rumahtanggakumit': 14, 'kumitproject': 14, 'apt': 1, 'parodi': 1, 'flagtrend': 2, 'jangansalahkanakuselingkuh': 4, 'ootdcimit': 3, '10yearsagochallenge': 1, 'masyaallah': 1, 'madkucil': 2, 'fitriarasyidi': 2, 'cimit': 2, 'amelazoya': 1, 'azoy': 1, 'masyaallahtabarakallah': 1, 'rumahuntukamela': 1, 'kumitfamily': 1}",17.0,52.0
123017,6343.21,43.83,5.192,2.1932,5,0,2,3,1.0,"{'instagram': 2, 'karnavalgarungwarangankepil': 1, 'wonosobo': 1, 'beranda': 1}",4.0,5.0
103461,1436.19,25.13,1.4124,1.6838,65,0,61,4,6.877,"{'ayce': 2, 'aycejakarta': 1, 'aycehotel': 1, 'aycehoteljakarta': 1, 'makananviral': 26, 'aycedaging': 1, 'doubletree': 1, 'doubletreebyhilton': 1, 'bridalroom': 1, 'hotelbridalshower': 1, 'hotelbridal': 1, 'bridalshower': 2, 'tempatviral': 1, 'travelblogger': 17, 'bridetobe': 1, 'apt': 1, 'aptdancechallenge': 1, 'bandung': 1, 'kai': 1, 'padalarangbandung': 1, 'whoosh': 2, 'travelling': 9, 'keretacepat': 2, 'tipsandtricks': 1, 'foodcourt': 1, 'makanankekinian': 8, 'kwetiawsiram': 1, 'makananjakarta': 1, 'kulinerjakarta': 15, 'kcic': 1, 'keretacepatjakartabandung': 1, 'oleholehbandung': 1, 'bandunghits': 1, 'bandungplacetogo': 1, 'kulinerbandung': 2, 'kulinerbandungjuara': 1, 'bandungfoodies': 1, 'blokm': 3, 'blokmsquare': 4, 'bakmieviral': 2, 'miekangkung': 2, 'makananhits': 2, 'jakartacoffeeweek': 1, 'garudaslondok': 1, 'kulinertangerang': 2, 'makananindonesia': 1, 'snackvideo': 1, 'enaknyaadagaruda': 1, 'makananenak': 8, 'kulinerblokm': 3, 'viralreels': 1, 'bangkokthailand': 4, 'explorethailand': 1, 'thailand': 3, 'travelbangkok': 1, 'bangkokfoodies': 2, 'bangkokplacestovisit': 1, 'kontentravel': 1, 'traveling': 2, 'traveladdict': 2, 'kontenkreator': 1, 'contentcreator': 2, 'diskon': 1, 'makanandiskon': 1, 'aycediskon': 1, 'buffetdinner': 1, 'buffetdiskon': 1, 'diskonjakarta': 1, 'asiarestaurant': 1, 'theritzcarlton': 1, 'traveltheworld': 4, 'travelgram': 4, 'instatravel': 2, 'exploremore': 2, 'kontenviral': 1, 'bangkoktrip': 1, 'explorebangkok': 4, 'kulinerbangkok': 1, 'michelinstar': 1, 'travellife': 3, 'kontentraveling': 1, 'puncak': 1, 'kulinerpuncak': 1, 'exploreindonesia': 1, 'kulinerindonesia': 2, 'blindbox': 1, 'popmart': 1, 'orignal': 1, 'labubu': 1, 'labubumacaron': 1, 'babythree': 1, 'upsetduck': 1, 'mainanviral': 1, 'trusted': 1, 'labubuhaveaseat': 1, 'makananpedas': 2, 'makananvegetarian': 1, 'veganfood': 1, 'vegan': 1, 'boncabeciamik': 1, 'boncabe': 1, 'giveaway': 1, 'kompetisi': 1, 'jajanankekinian': 1, 'jajananhits': 1, 'telorgulung': 1, 'explorepage': 1, 'lifehacks': 1, 'kulinerbali': 5, 'seeds': 1, 'seedseateryubud': 1, 'explorebali': 7, 'kerastase': 1, 'kerastasetreatment': 1, 'treatmentrambut': 1, 'hairtreatment': 1, 'treatmyself': 1, 'junepang': 1, 'bantatthongstreet': 1, 'toastviral': 1, 'rotiviral': 1, 'bangkokfood': 1, 'koreanfood': 1, 'dakbal': 1, 'noldapocha': 1, 'makanankorea': 1, 'chigo': 1, 'chigoxflip': 1, 'chickennanban': 1, 'oichiseries': 1, 'nanban': 1, 'rayjinbali': 1, 'rayjin': 1, 'rayjinteppanyaki': 1, 'ubud': 1, 'omakasebali': 1, 'steakdinner': 2, 'steaklover': 1, 'steak': 1, 'marriageisscary': 1, 'marriageisscarytrend': 1, 'travelphotography': 1, 'travelcontent': 1, 'travelcontentcreator': 2, 'importchina': 1, 'modalusaha': 1, 'importirchina': 1, 'barangviral': 2, 'taobao': 1, 'importbarang': 1, 'importbarangchina': 1, 'gyukatsu': 1, 'bestgyukatsu': 1, 'gyukatsutenjinbali': 1, 'gyukatsutenjin': 1, 'philladelphia': 1, 'philadelphiasushi': 1, 'philadelphiasushiroll': 1, 'sushibali': 1, 'sushi': 1, 'sushilover': 1, 'sushiporn': 2, 'sushidelivery': 1, 'atvlife': 1, 'atvubud': 1, 'travelbali': 5, 'ubudlife': 1, 'bali': 3, 'baliindonesia': 5, 'atvriding': 1, 'kintamanibali': 1, 'kintamani': 1, 'explorekintamani': 1, 'blacklava': 1, 'aycesushi': 1, 'ayceshishi': 1, 'shishibali': 1, 'balifoodies': 1, 'balifood': 2, 'aycemurah': 1, 'pastryviral': 1, 'cheesecake': 1, 'cheesecakelovers': 1, 'cheesecakeviral': 1, 'miekangkungenak': 1, 'kulinerblokmsquare': 1, 'balifoodguide': 1, 'balifoodhunting': 1, 'travel': 1, 'exploreeverything': 1, 'exploretheworld': 1, 'villabali': 1, 'villamewahbali': 1, 'balitrip': 1, 'ubdbali': 1, 'villaubud': 1, 'villaubudbali': 1, 'rasanyamanmudisini': 1, 'kopitagram': 1, 'coffeshop': 1, 'cofeetogo': 1, 'kukinergadingserpong': 1, 'gskuliner': 1, 'sushiyay': 1, 'sushienak': 2, 'sushimurah': 1, 'sushilovers': 1, 'spillbudget': 1, 'spillbudgettravelling': 1, 'travelbalimurah': 1, 'soundviral': 1, 'selfreward': 1, 'xiangshan': 1, 'xiangshanfishsteamboat': 1, 'kulineralamsutera': 1, 'foodie': 1, 'fishsteamboat': 1, 'brimomudahserbabisa': 1, 'tabunganbripasbuatmu': 1, 'jajansatsetpakaibrimo': 1, 'ktd': 1, 'brimo': 1, 'kampoengtempodoeloebarengbrimo': 1, 'promoholic': 1, 'merchantbri': 1, 'kulinerkelapagading': 1, 'kulinerglodok': 2, 'kulinerpancoranglodok': 1, 'ayamggoreng': 1, 'ayamgorengberempah': 1, 'hiddengem': 2, 'kulinernusantara': 1, 'wintertrip': 1, 'winterinkorea': 1, 'winterinjapan': 1, 'explorekorea': 1, 'tourkoreamurah': 1, 'tourkorea': 1, 'explorejapan': 1, 'trendingsound': 1, 'lolly': 1, 'trendingvideo': 1, 'trendingreels': 1, 'omaelly': 1, 'kulinerjakartaselatan': 1, 'bestpasta': 1, 'bestlasagna': 1, 'promofood': 1, 'lasagna': 1, 'udahmantepmakinmantep': 1, 'nuggettempong': 1, 'tempong': 1, 'nasitempong': 1, 'hacksbaru': 1, 'idejualan': 1, 'makanananviral': 1, 'bakmieayam': 1, 'bakmienak': 1, 'hiddengembakmi': 1, 'modaljualan': 1, 'pasarpagi': 1, 'asemka': 1, 'pasarpagiasemka': 1, 'baranggrosir': 1, 'grosirmurah': 1, 'gelangviral': 1, 'giveawaytiketpesawat': 1, 'macau': 2, 'buy1get1macau': 1, 'travelfair': 1, 'mandiritravelfair': 1, 'dwidayatourcarnival': 1, 'dwidayatour': 1, 'battlethaitea': 1, 'thaitea': 1, 'thaiteaenak': 1, 'dumdum': 1, 'dumdumthaidrinks': 1, 'minumanviral': 1, 'bantathongarea': 1, 'streetfood': 1, 'bangkok': 1, 'streetfoodbangkok': 1, 'thailandbangkok': 1, 'eventbazaar': 1, 'dapoerrasa': 1, 'bataviapik': 1, 'esmambo': 1, 'asinan': 1, 'kerupukjuhi': 1, 'tahugejrot': 1, 'contentcrearorlife': 1, 'foodreviewer': 1, 'expressyourëstyle': 1, 'citroënindonesia': 1, 'citroënëc3': 1, 'sewakostum': 1, 'thaiuniform': 1, 'sewaseragamthailand': 1, 'thailandtravel': 1, 'touristinbangkok': 1}",301.0,447.0
589090,36428.64,531.69,6.2741,7.2407,135,0,134,1,0.0,{},0.0,0.0
358569,17493.26,136.41,4.9167,9.4484,10,0,9,1,0.2,"{'berani02': 1, 'gubernursulteng2024': 1}",2.0,2.0
315657,9432.58,214.94,3.0563,1.8537,29,0,29,0,8.69,"{'aesthetic': 4, 'layout': 1, 'interiordesign': 8, 'cozy': 1, 'slowliving': 2, 'dimasgepeto': 18, 'diy': 24, 'makeover': 12, 'bapak2': 1, 'worklifebalance': 1, 'worklife': 1, 'dayinmylife': 1, 'ac': 1, 'airconditioner': 1, 'tips': 3, 'tipsandtricks': 9, 'acwindow': 2, 'reiwa': 1, 'livingstyle': 1, 'homeappliances': 1, 'lifestyle': 1, 'reiwanewera': 1, 'kecilkecilbikinchill': 1, 'homedecor': 3, 'pasangac': 1, 'tutorial': 2, 'tacoid': 1, 'tacohpl': 1, 'tacoedging': 1, 'sentuhanakhiryangmemukau': 1, 'asmr': 8, 'diyhomedecor': 16, 'roomdecor': 2, 'lemarirotan': 1, 'sink': 1, 'kitchenset': 3, 'idedapur': 2, 'hacks': 5, 'lifehacks': 4, 'kitchenhacks': 2, 'keran': 1, 'pipapvc': 3, 'pipecraft': 1, 'diyprojects': 15, 'kitchen': 1, 'kerajinanpipa': 1, 'desaininterior': 2, 'downstairs': 6, 'bawahtangga': 4, 'hiddenstorage': 2, 'raksepatu': 1, 'lemari': 2, 'roomtour': 1, 'diyers': 1, 'hpl': 1, 'mejalipat': 2, 'mejamakan': 2, 'diningtable': 1, 'wallmounted': 1, 'diningroom': 1, 'foldingtable': 1, 'mendingbikinaja': 7, 'renovasi': 1, 'likeabosch': 1, 'stepstool': 1, 'kursilipat': 1, 'tanggaanak': 1, 'kursi': 1, 'boschpowertools': 1, 'diyer': 1, 'pipa': 1, 'pvc': 1, 'storage': 1, 'cornerstorage': 1, 'akuapproveaquaproof': 1, 'aquaproofpro': 1, 'dapurrembes': 1, 'relpanci': 1, 'versibpjs': 2, 'diycreators': 9, 'kitchrnset': 1, 'memdingbikinaja': 1, 'depotropika': 2, 'diyroomdecor': 1, 'trolley': 2, 'paralon': 1, 'makra': 1, 'makrover': 1, 'rakhelm': 1, 'gantunganhelm': 1, 'kitchencabinet': 1, 'dimension': 1, 'dapur': 2, 'backdroptv': 1, 'toples': 1}",95.0,252.0
106918,9621.86,182.19,9.1697,6.5626,109,0,109,0,0.0,{},0.0,0.0
