Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
165908,1496.54,1.96,0.9032,1.0862,58,0,13,45,16.897
157687,456.82,7.26,0.2943,0.1668,25,13,4,8,3.92
369888,2154.35,27.84,0.59,0.3956,112,37,40,35,3.402
686190,25117.25,1271.12,3.8456,4.159,274,201,5,68,0.215
220647,4401.4,62.63,2.0232,1.9513,4,1,1,2,0.75
199534,11105.23,58.54,5.5949,17.0256,22,0,21,1,4.409
108617,997.47,71.32,0.984,1.3432,164,86,1,77,28.976
107826,1793.44,34.16,1.695,0.6353,19,4,11,4,0.0
129120,2523.77,152.56,2.0727,2.0338,130,34,55,41,0.015
285867,6212.72,97.54,2.2074,3.3566,36,0,36,0,1.611
287094,209.01,8.12,0.0756,0.0316,163,36,11,116,0.0
217645,2684.79,80.62,1.2706,1.0799,22,4,6,12,2.636
304749,54763.36,679.49,18.193,15.5973,4,2,1,1,2.0
957549,24031.21,572.74,2.5695,0.8432,60,1,59,0,1.45
133918,1490.99,13.13,1.1232,3.7659,145,57,68,20,3.717
129736,14006.75,142.45,3.2192,3.4801,29,0,29,0,1.655
439530,43744.83,742.01,10.1215,0.0228,4,4,0,0,0.0
275651,3391.03,241.17,1.3177,0.7241,121,14,48,59,10.413
575202,595.51,41.29,0.1107,0.651,98,7,49,42,3.551
167819,25139.44,147.81,15.0682,12.3304,88,2,82,4,0.068
314574,3777.76,104.7,1.2342,0.3001,31,1,20,10,1.194
342928,3867.89,88.39,1.1537,0.138,29,4,20,5,3.621
698886,28352.84,202.87,4.0859,1.5917,21,0,16,5,4.667
414202,7656.65,109.8,1.875,1.6252,46,0,39,7,0.13
624853,3178.12,179.55,0.5374,0.0945,83,28,40,15,2.735
969826,7861.05,89.75,0.8198,0.6401,44,7,31,6,1.659
833309,19954.56,177.33,2.4159,1.0989,40,0,32,8,3.725
756656,98306.42,715.88,13.0868,5.7704,13,1,2,10,0.154
901349,1047.58,9.72,0.1173,0.0533,45,2,30,13,11.689
723884,57349.69,140.38,7.9419,4.0536,3,0,0,3,0.0
874819,28341.85,85.49,3.2495,0.4088,2,0,2,0,1.5
879364,2929.39,28.19,0.3363,0.175,35,3,19,13,0.943
743799,32476.29,317.87,4.409,3.2515,5,0,5,0,0.6
620382,17177.13,621.5,2.869,0.2069,22,2,12,8,0.591
626171,2683.05,29.97,0.4333,1.3016,83,1,77,5,3.807
959504,1289.25,47.31,0.1393,0.0296,157,49,106,2,18.582
708537,12930.67,103.45,1.8396,0.3651,23,5,12,6,0.174
670392,67382.89,166.65,10.0761,5.6829,2,0,0,2,0.0
679319,7495.42,347.2,1.1545,0.4522,186,44,52,90,5.403
864304,13439.0,424.46,1.604,1.2988,125,11,106,8,1.568
302673,4110.54,36.12,1.37,0.0,0,0,0,0,0.0
539095,6165.4,191.85,1.1792,0.1965,14,0,11,3,5.714
274673,650.58,5.75,0.239,0.1405,3,0,0,3,0.0
794419,23271.95,230.85,2.9585,6.1138,1,0,0,1,0.0
707693,29075.52,89.9,4.1212,2.6731,9,0,9,0,3.556
492759,4728.97,43.17,0.9685,1.9178,6,0,1,5,0.333
