Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary),Hashtags_Count,Hashtags_Sum,Unnamed: 0
465027234,8671952.69,51758.33,1.876,1.5903,31,6,6,19,0.323,"{'bioniq': 1, 'cr7': 2, 'peakperformance': 1, 'personalizedhealth': 1, 'longevity': 1, 'healthoptimization': 1, 'snk': 1, 'fatalfury': 1, 'cr7drive': 1}",9.0,10.0,
356687629,8296735.66,47534.12,2.3394,1.6189,45,3,11,31,0.044,"{'allurebestofbeauty': 1, 'bestofbeauty': 1}",2.0,2.0,
347032978,6895177.81,47044.54,2.0005,1.9045,27,2,12,13,0.704,"{'mlsseasonpass': 2, 'messikids': 1, 'jointhefun': 1, 'captainmessi': 1, 'hardrock': 1, 'mlscupplayoffs': 2, 'lafamilia': 1, 'messifragrances': 2, 'efootball': 2, 'pr': 2, 'makeitcount': 2, 'bitgetturns6': 2}",12.0,19.0,
334551681,6252711.42,39167.12,1.8807,0.772,21,2,4,15,0.333,"{'louderthesoundtrackofchange': 2, 'streamonmax': 1, 'makearareimpact': 2, '76themmys': 1, 'emmys': 1}",5.0,7.0,
327064138,1874150.5,8529.75,0.5756,0.3723,60,6,50,4,1.067,"{'cheehoo': 2, 'redonemovie': 4, 'ifyasmell': 1, 'germany': 1, 'internationalrollout': 2, 'teremana': 3, 'projectrock': 3, 'founder': 2, 'pr7': 1, 'menshealth': 1, '2024sneakerawards': 1, 'papatui': 4, 'redone': 3, 'king': 1, 'worldmentalhealthday': 1, 'apalacheestrong': 1, 'cheenation': 1, 'moana2': 3, 'manafarms': 1, 'atlanta': 1, 'timeless': 1, 'apalachee': 1, 'winder': 1, 'georgia': 1, 'toolsofthetrade': 1, 'fuckits': 1, 'thursdaysnextinline': 1, 'ironparadise': 2, 'foralluscrazies': 1, 'weareoneapalachee': 1, 'takebettercare': 2, 'wherejesusjustleftchicago': 1, 'nocheufc': 2, 'bestpartoffame': 1, 'thatsallwegot': 1, 'manaranch': 1, 'soulbully': 1, 'myson': 1, 'ufc306': 1, 'besttattooproduct': 1, 'esquire': 1, 'dubai': 1, 'theu': 1, 'summerofmana': 1}",44.0,64.0,
323090977,3536820.06,16964.81,1.0999,0.9689,30,1,4,25,0.0,{},0.0,0.0,
321374794,3712125.93,19077.73,1.161,1.0158,35,10,6,19,0.2,"{'wickedmovie': 3, 'rembeautyxwicked': 3, 'wickedwednesday': 1}",3.0,7.0,
267023539,3627594.67,24558.15,1.3677,0.6771,24,1,8,15,0.0,{},0.0,0.0,
260359924,2391194.0,10442.21,0.9224,0.3112,30,5,3,22,0.5,"{'fableticsxkhloe': 9, 'fableticsxkhloÃ©': 3, 'heatwave': 1, 'scary': 1, 'staysafe': 1}",5.0,15.0,
247599374,5520992.5,21191.33,2.2384,1.9339,12,1,0,11,0.333,"{'calzedonia': 1, 'ledefileloreal': 1, 'walkyourworth': 1, 'worthit': 1}",4.0,4.0,
247448517,1887637.68,10084.75,0.7669,0.4042,5,1,0,4,0.0,{},0.0,0.0,
232020700,304664.0,1225.23,0.1318,0.0726,183,74,63,46,0.41,"{'bestoftheworld': 2, 'europefromabove': 2, 'hiddenkingdomsofchina': 2, 'photoark': 10, 'natgeoyoutube': 1, 'internationalslothday': 1, 'oceanxplorers': 7, 'neverstopexploring': 1, 'thedevilsclimb': 2, 'perpetualplanet': 10, 'planetofthebirds': 1, 'endurancefilm': 1, 'onestrangerock': 2, 'theflood': 1, 'wildhawaii': 2, 'natgeoblink': 2, 'expeditionamazon': 2, 'dayofthegirl': 1, 'worldmentalhealthday': 1, 'worldoctopusday': 1, 'incredibleanimaljourneys': 3, 'growingupanimal': 2, 'mexicountamed': 1, 'comet': 1, 'tsuchinshanatlas': 1, 'astrophotography': 1, 'twanight': 1, 'discoveron': 1, 'hostileplanet': 2, 'worldrhinoday': 1, 'agathaallalong': 1, 'wildportugal': 1, 'secretsoftheelephants': 1, 'indiafromabove': 1, 'wildrussia': 1, 'okavangoeternal': 1, 'thehiddenkingdomsofchina': 1, 'americasnationalparks': 1, 'ad': 1}",39.0,75.0,
228524022,333382.0,5520.94,0.1483,0.0755,30,4,13,13,0.9,"{'nikefootball': 1, 'winningisntforeveryone': 14, 'paris2024': 12}",3.0,27.0,
218097325,2397441.0,334.73,1.0994,1.7283,4,1,1,2,0.25,{'miamitstheerastour': 1},1.0,1.0,
217547805,1691841.5,11942.84,0.7832,0.541,18,2,12,4,0.556,"{'linkinbio': 1, 'othercolorandpicture': 1, 'unstoppablemovie': 4, 'tiff': 1, 'tiff2024': 3}",5.0,10.0,
206743723,3472381.5,18090.07,1.6883,1.1349,7,1,5,1,3.0,"{'essilor': 1, 'varilux': 1, 'progressivelens': 1, 'pumaxvirat': 1, 'iykyk': 1, 'thatsitthatsdigit': 1, 'dothedigit': 1, 'digitlifeinsurance': 1, 'pumabirthdaybash': 1, 'choosebold': 2, 'royalchallengepackageddrinkingwater': 1, 'nayasher': 1, 'jersey18': 1, 'luxor': 1, 'luxorschneider': 1, 'lxmax': 1, 'schneiderpen': 1, 'likhomaximum': 1, 'dreamteam': 1, 'pens': 1}",20.0,21.0,
197697257,2161401.25,19624.63,1.1032,0.6336,49,1,5,43,1.204,"{'forcesoffashion': 2, 'gabby': 1, 'gagcityqueens': 1, '1': 1, 'gagcitycolumbia': 1, 'gagcityraleigh': 1, 'gagcitymiami': 1, 'gagcitytampa': 2, 'gagcityjacksonville': 1, 'gagcitystlouis': 1, 'gagcitykansascity': 1, 'papabear': 1, 'gagcitylasvegas': 1, 'gagcitysandiego': 1, 'gagcityvegas': 1, 'gagcitysanfrancisco': 2, 'sanfrancisco': 1, 'gagcityinglewood': 1, 'gagcitylosangeles': 2, 'gag': 1, 'itsthegag': 1, 'gagcity': 3, 'gagcitysanantonio': 1, 'gagcityla': 1, 'gagcitydallas': 1, 'gagcitybirmingham': 2, 'gagcitycleveland': 3, 'rogerthat': 1, 'alabama': 1, 'gagcitybuffalo': 1, 'cleveland': 1, 'ohio': 1, 'gagcitydc': 2, 'dtlr': 1, 'gagcitynyc': 2, 'gagcitymsg': 1, 'gagcitypittsburgh': 4, 'gagcityphilly': 4, 'cj': 1, 'gagcitynewyork': 1, 'gagcityreloaded': 1, 'gagcitydeluxe': 1}",42.0,59.0,
188868254,1767538.46,6616.93,0.9394,1.2607,9,2,0,7,0.0,{},0.0,0.0,
178122866,1311897.7,6343.57,0.7401,0.913,6,1,2,3,2.5,"{'dgeyewear': 3, 'dolcegabbana': 6, 'dgfw24': 3, 'karltempler': 3}",4.0,15.0,
176162107,2705534.49,47.64,1.5358,1.2232,35,5,12,18,0.686,"{'Ã©dablaze': 5, 'neymarjr': 1, 'embaixadoresblaze': 5, 'Ø§ÙÙÙØ§Ù': 1, 'Ø£ÙÙ_ÙØ§_ÙÙØ§ÙÙ': 1, 'Ø§ÙØ°ÙØ±Ù_Ø§ÙØ³ÙÙÙØ©67': 1, 'ohyahilali': 1, 'alhilal67years': 1, 'efootball': 1, 'pr': 1, 'originaisblaze': 4, 'ibrahim_alqurashi': 1, 'Ø§Ø¨Ø±Ø§ÙÙÙ_Ø§ÙÙØ±Ø´Ù': 1}",13.0,24.0,
167005817,720700.26,4824.75,0.4344,0.2112,61,5,35,21,0.311,"{'gorgeous': 1, 'denonperl': 1, 'denonperlpro': 1, 'discoveryouraura': 1, 'katyperrydenonperl': 1, 'katyperrytunedtoyou': 1, 'denonpartner': 1, 'katyperrynorockinrio': 1, 'rockinrio2024': 2, 'rockinrio40anos': 1, 'vma': 1, 'vmas': 1, 'thecut': 1, 'dolcegabbana': 1, 'dgbeauty': 1, 'dgdevotion': 1, 'madeinitaly': 1, 'lifetimes': 1}",18.0,19.0,
148755284,533486.92,3749.93,0.3612,0.1047,70,13,34,23,0.771,"{'dkpartner': 4, 'comedicrockstarshit': 10, 'actingmyage': 1, 'comedicrockstar': 1, 'livelovelaugh': 4, 'fableticspartner': 5, 'vitahustlepartner': 1, 'c4energypartner': 1, 'fightnightpeacock': 3, 'actingmyagetour': 2, 'loveqvc': 1, 'weplayingspades': 1, '4': 1, '3': 1, 'hartbeat': 1, 'fableticsambassador': 1, 'ad': 1, 'chasepartner': 1, 'harts': 1, 'vhpartner': 1, 'daydrinking': 6, 'fightnight': 2, '1': 1, 'grancoraminopartner': 1, 'thebreakfastclub': 1, 'fallontonight': 1}",26.0,54.0,
147816903,5744110.0,16106.14,3.8969,5.6179,2,1,0,1,0.0,{},0.0,0.0,
137199449,3094440.72,18910.93,2.2692,1.5713,18,1,2,15,0.111,"{'summerslam': 1, 'sweepstakes': 1}",2.0,2.0,
136695965,1146626.67,9535.06,0.8458,0.2828,18,2,5,11,0.056,{'rockhall2024': 1},1.0,1.0,
133436105,3691546.0,20974.19,2.7822,2.9145,10,0,6,4,0.6,"{'softlit': 1, 'jadoredior': 3, 'diorparfums': 1, 'diorbeauty': 1}",4.0,6.0,
127326148,2102660.33,13785.98,1.6622,0.9984,19,3,10,6,0.421,"{'jamesgang': 1, 'striveforgreatness': 1, 'hennessyxlebron': 2, 'madeformore': 2, 'dkpartner': 2}",5.0,8.0,
123619409,424885.52,3787.96,0.3468,0.0862,0,0,0,0,0.0,{},0.0,0.0,
121711711,1009067.54,3553.24,0.832,0.7848,508,256,134,118,1.205,"{'elclÃ¡sico': 24, 'madridistas': 30, 'flybetter': 7, 'belligold': 1, 'rmplay': 29, 'rmcity': 94, 'halamadrid': 5, 'euroleague': 1, 'ucl': 94, 'realmadrid': 30, 'realfootball': 21, 'fc25': 13, 'laligahighlights': 17, 'celtarealmadrid': 23, 'supersupercopa': 1, 'rethinkthegame': 4, 'jugadorcincoestrellas': 3, 'nationsleague': 13, 'artistpack': 1, 'totw': 2, 'otd': 5, 'realmadridvillarreal': 14, 'reflejodeuncompromisosolan': 2, 'visitdubai': 4, 'realmadridxzegna': 2, 'atletirealmadrid': 12, 'lavueltadelnÃºmero1': 2, 'thereturnofthenumber1': 2, 'graciasrudy': 1, 'realmadridalavÃ©s': 20, 'realmadridalaves': 1, 'realmadridespanyol': 25, 'realmadridespayol': 1, 'laligavsbullying': 2, 'lafuerzadenuestrofÃºtbol': 2, 'starsofeurope': 2, 'realsociedadrealmadrid': 24, 'lunin2030': 5, 'wfs': 1, 'third': 1, 'lfstlr': 1, 'afconq2025': 2, 'ballondor': 5, 'coachdelannee': 1, 'trophÃ©eyachine': 1, 'clubdelannee': 1, 'trophÃ©ekopa': 1, 'takeittotheworld': 2, 'fifacwc': 2, 'realmadridrealbetis': 16, 'adidas': 7, 'zne': 7, 'supercup': 1, 'laspalmasrealmadrid': 15, 'ucldraw': 2}",55.0,605.0,
116476688,1723164.25,83.42,1.4795,1.3645,16,1,5,10,0.0,{},0.0,0.0,
115007167,465597.39,3862.72,0.4082,0.3146,14,9,2,3,0.071,{'nami': 1},1.0,1.0,
109950457,1176560.05,4342.09,1.074,0.6355,510,224,129,157,0.216,"{'laligahighlights': 59, 'elclasico': 5, 'elclÃ¡sico': 6, 'madeinlamasia': 5, 'barÃ§abayern': 6, 'stanleytools': 4, 'shotonhmd': 2, 'hmdskylinebluetopaz': 1, 'alavesbarÃ§a': 1, 'alavÃ©sbarÃ§a': 2, 'nbainabudhabi': 1, 'barÃ§ayoungboys': 1, 'ð¨ðð': 1, 'barÃ§ayb': 1, 'osasunabarÃ§a': 1, 'barÃ§agetafe': 2, 'villarealbarÃ§a': 3, 'villarrealbarÃ§a': 2, 'formalwearpartner': 2, 'monacobarÃ§a': 1, 'gironabarÃ§a': 1, 'ballondor': 1, 'barÃ§avalladolid':Â 6}",23.0,114.0,
104462435,8520777.67,45267.42,8.2001,4.8839,22,3,5,14,0.0,{},0.0,0.0,
85085187,2091782.11,4827.43,2.4641,1.6525,33,0,0,33,0.0,{},0.0,0.0,
83763785,1377079.5,4787.18,1.6497,0.8213,6,0,0,6,0.167,{'aspenpartner': 1},1.0,1.0,
81632030,1384972.67,7997.02,1.7064,0.7229,10,10,0,0,0.1,{'happytorretotuesday': 1},1.0,1.0,
80262430,1580291.63,4660.02,1.9747,2.2966,30,2,12,16,0.9,"{'ad': 6, 'johnniewalkerrefreshingmixer': 1, 'marshallspartner': 2, 'citadel': 2, 'gateway': 1, 'keepwalking': 1, 'johnniewalkericechalet': 1, 'à¤ª': 1, 'paani': 2, 'growupchallenge': 1, 'mondaymusings': 1, '2in1skinreset': 1, 'miraclepure': 1, 'maxfactor': 1, 'citadelonprime': 1, 'citadeldiana': 1, 'citadelhoneybunny': 1, 'citadels2': 1, 'caringforwomendinner': 1}",19.0,27.0,
79870794,5650260.5,51630.4,7.1389,10.344,18,1,2,15,0.333,"{'dentiste': 1, 'dentistexpoweroflisaconfidentsmile': 1, 'dentisexlisa': 1, 'lvss25': 1, 'nicolasghesquiere': 1, 'louisvuitton': 1}",6.0,6.0,
78572117,1172499.9,3965.17,1.4973,1.0579,39,26,5,8,7.41,"{'crew8': 1, 'milton': 2, 'nasa': 37, 'space': 26, 'iss': 8, 'internationalspacestation': 3, 'aurora': 3, 'earth': 8, 'astronaut': 4, 'nebula': 5, 'eerie': 1, 'circles': 1, 'astronomy': 15, 'stars': 8, 'universe': 12, 'nasahalloween': 1, 'halloween': 1, 'galaxyofhorrors': 1, 'planet': 3, 'exoplanet': 1, 'jwst': 1, 'webb': 3, 'jameswebbspacetelescope': 1, 'ngc602': 1, 'browndwarf': 1, 'esa': 1, 'supernova': 2, 'hubble': 6, 'telescope': 6, 'satellite': 1, 'comet': 1, 'photography': 2, 'cometatlas': 1, 'callisto': 1, 'galileo': 2, 'jupiter': 2, 'moon': 5, 'volcano': 1, 'fullmoon': 2, 'fullmoonphotography': 1, 'huntersmoon': 1, 'supermoon': 3, 'nasamoonsnap': 1, 'astrophotography': 7, 'xray': 2, 'europaclipper': 1, 'rocket': 2, 'launch': 2, 'europa': 1, 'solarsystem': 4, 'planets': 2, 'spacestation': 4, 'spitzer': 1, 'pleiades': 1, 'sevensisters': 1, 'hurricanemilton': 1, 'hurricane': 1, 'weather': 1, 'wx': 1, 'tinydancer': 1, 'nightsky': 1, 'whatsup': 1, 'october': 1, 'thingstodo': 1, 'stargazing': 1, 'science': 1, 'galaxy': 3, 'flame': 1, 'spacetelescope': 3, 'crew9': 1, 'spaceship': 1, 'spacex': 1, 'capecanaveral': 1, 'color': 1, 'mindfulness': 1, 'apollo': 1, 'apollo11': 1, 'terminator': 1, 'illbeback': 1, 'bubble': 1, 'astronauts': 1, 'selfie': 1, 'saycheese': 1, 'spacewalk': 1, 'chandra': 1, 'ghostbusters': 1, 'talklikeapirateday': 1, 'neptune': 1, 'pirate': 1, 'voyager': 1, 'blackhole': 1, 'harvest': 1, 'partiallunareclipse': 1, 'skywatching': 2, 'observethemoon': 2, 'bubblenebula': 1, 'hubblespacetelescope': 1, 'sept11': 1, 'remember': 1, 'glitter': 1, 'glow': 1, 'goodluckbabe': 1, 'river': 1, 'brazil': 1, 'saofrancisco': 1, 'minaisgerais': 1, 'earthfromspace': 2, 'spider': 1, 'timelapse': 1, 'milkyway': 1, 'reflections': 1, 'cassini': 1, 'saturn': 1, 'rings': 1, 'skywatcher': 1, 'lunareclipse': 1, 'supermassiveblackhole': 1, 'andromeda': 1, 'nasaspitzer': 1, 'spiralgalaxy': 1, 'cucumber': 1, 'meetyourcosmicneighbors': 1}",122.0,289.0,
75751033,973225.62,6292.06,1.2931,0.7295,24,5,11,8,0.333,"{'lmynlworldtour': 5, 'shakira': 1, 'soltera': 1, 'juernesdesolteras': 1}",4.0,8.0,
74890004,2555316.25,6586.71,3.4209,3.1771,5,0,2,3,0.2,{'vsfs': 1},1.0,1.0,
