Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
81066,37290.57,109.81,46.1357,60.0699,19,1,18,0,3.368
51300,462.66,1.64,0.9051,0.4647,27,24,1,2,5.444
50926,13998.27,150.32,27.7826,0.0,0,0,0,0,0.0
14127,15995.74,264.28,115.0989,697.4658,14,0,14,0,2.0
38429,2460.94,51.5,4.4217,8.653,54,0,54,0,5.074
56821,8702.17,111.06,15.5105,30.7914,17,0,17,0,2.176
59853,30113.36,346.03,50.8903,220.1672,3,0,3,0,6.667
77166,7773.39,108.9,10.2147,5.5478,5,2,0,3,0.0
53035,11516.01,112.55,21.9262,8.3933,5,0,2,3,0.0
37423,587.64,17.67,1.6175,0.2058,1,0,1,0,1.0
16074,357.1,28.0,2.3958,2.7373,4,0,0,4,11.5
56148,2091.95,60.84,3.8341,0.5875,9,3,6,0,1.667
19465,190.91,11.32,1.0389,0.6358,12,2,9,1,0.0
11140,1426.58,34.0,13.1111,2.2172,3,0,3,0,7.333
15536,342.44,76.91,2.6992,2.2799,25,17,0,8,18.76
40855,64.57,43.23,0.2639,0.2973,32,3,7,22,12.0
15243,956.63,43.17,6.5591,0.0,0,0,0,0,0.0
18068,602.41,24.22,3.4682,1.3366,12,2,7,3,5.917
27929,618.11,3.32,2.225,0.5168,3,2,1,0,3.0
19021,404.04,21.73,2.2384,0.0,0,0,0,0,0.0
56650,1025.98,20.01,1.8464,2.8624,13,5,0,8,0.0
33941,165.91,3.77,0.4999,0.0359,45,21,8,16,8.178
78140,2355.76,44.76,3.0721,2.5836,10,0,3,7,0.8
24615,678.0,6.31,2.78,1.6465,14,5,0,9,0.0
71291,28.95,0.51,0.0413,0.0034,5,3,1,1,1.4
99589,7945.38,102.77,8.0814,7.0895,14,0,2,12,1.286
52437,858.27,8.42,1.6528,1.7276,24,5,0,19,3.0
49887,3227.84,10.5,6.4914,3.0367,10,7,2,1,0.8
31186,312.39,88.0,1.2839,1.7929,16,7,6,3,3.75
25346,352.91,3.45,1.406,0.0,0,0,0,0,0.0
48943,1109.19,29.17,2.3259,1.1193,5,2,3,0,0.0
33017,210.77,33.91,0.7411,0.2011,18,3,2,13,0.667
31820,1101.05,83.13,3.7215,0.8045,1,1,0,0,3.0
62551,51.5,4.33,0.0893,0.0893,4,0,4,0,3.75
59984,1895.64,24.91,3.2018,0.0,0,0,0,0,0.0
54385,923.45,4.83,1.7069,1.1182,9,0,0,9,3.889
126139,9392.43,153.79,7.568,4.1761,19,0,8,11,0.316
56799,12507.23,7.36,22.0331,36.432,7,5,1,1,7.143
62716,7900.22,157.39,12.8478,39.2975,6,0,6,0,7.833
37890,254.57,0.32,0.6727,0.0,0,0,0,0,0.0
55758,194.34,14.85,0.3752,0.1762,24,6,13,5,8.417
35838,425.13,16.04,1.231,0.8052,16,3,12,1,7.5
47850,2067.83,19.6,4.3624,0.0,0,0,0,0,0.0
57399,8635.84,14.58,15.0707,2.9015,14,2,12,0,9.143
151335,14585.38,67.44,9.6824,25.4212,18,0,7,11,1.278
29972,6399.38,65.59,21.5701,4.3474,2,2,0,0,25.0
65840,1954.97,21.16,3.0014,2.2974,11,2,4,5,2.182
75769,2327.26,71.31,3.1656,3.4885,5,1,2,2,7.6
57449,3256.94,83.05,5.8138,0.0,0,0,0,0,0.0
89664,1816.51,22.75,2.0513,2.0103,23,3,5,15,1.565
12313,187.59,2.12,1.5407,1.9492,3,0,2,1,5.0
31141,2915.16,42.32,9.4971,21.7687,1,0,1,0,10.0
27504,1867.77,29.84,6.8994,0.8544,6,0,0,6,1.167
30668,1501.18,23.3,4.9709,2.2403,24,8,8,8,3.875
61819,11182.57,193.46,18.4022,0.0,0,0,0,0,0.0
18476,819.23,15.49,4.5179,9.5266,7,1,1,5,2.429
22372,712.42,32.22,3.3285,2.882,32,0,32,0,5.063
77909,2303.3,290.07,3.3287,0.154,1,1,0,0,1.0
12533,631.64,12.42,5.139,11.0694,3,1,0,2,1.0
96231,779.68,26.26,0.8375,0.1204,17,4,1,12,5.235
73629,0.0,0.0,0.0,0.0,0,0,0,0,0.0
76405,618.14,15.88,0.8298,0.0,0,0,0,0,0.0
23303,3222.37,44.25,14.018,4.4529,3,2,1,0,0.0
83509,38.4,1.31,0.0476,0.0299,4,1,3,0,1.25
97551,127.29,0.7,0.1312,0.0,0,0,0,0,0.0
97733,1506.56,73.71,1.6169,1.3284,28,0,27,1,2.464
32383,1145.34,6.8,3.5578,6.6671,1,0,0,1,16.0
104543,2605.38,28.44,2.5194,2.5339,1,0,1,0,30.0
101262,4833.39,62.5,4.8349,6.5958,1,0,1,0,0.0
98169,1766.69,9.88,1.8097,0.6592,22,5,15,2,0.0
43825,260.23,18.02,0.6349,1.0473,5,3,1,1,0.0
63713,493.01,1.46,0.7761,0.1711,1,1,0,0,0.0
162055,2457.18,124.87,1.1672,2.9228,40,12,16,12,0.25
96632,3470.18,47.68,3.6405,2.5477,7,2,1,4,0.286
38198,1806.89,87.01,4.9581,4.2568,16,0,0,16,8.25
24203,1111.4,88.96,4.9596,2.2518,1,1,0,0,10.0
43835,69.23,0.46,0.159,0.124,16,9,6,1,8.5
98865,897.11,28.0,0.9357,0.0394,6,2,3,1,10.833
88669,2838.27,41.87,3.2482,0.0,0,0,0,0,0.0
53188,390.17,6.87,0.7465,0.3685,4,1,1,2,0.0
137717,840.7,5.0,0.6141,0.2275,54,16,17,21,5.963
29779,1650.04,43.22,5.6861,13.5912,3,1,1,1,1.667
102291,3557.81,140.24,3.6152,3.5076,25,9,0,16,6.0
42937,4410.05,26.27,10.3322,2.3804,34,0,22,12,0.059
89905,381.98,2.41,0.4275,0.2197,37,11,5,21,17.351
117714,3016.27,8.82,2.5699,3.0715,74,5,25,44,2.5
107154,976.91,20.58,0.9309,0.0,0,0,0,0,0.0
35237,1979.43,36.95,5.7223,4.0084,14,8,3,3,4.357
35898,4098.92,40.13,11.53,3.8178,8,5,3,0,29.875
27649,249.65,14.53,0.9555,0.0,0,0,0,0,0.0
43424,972.29,6.2,2.2533,1.2276,65,21,0,44,8.092
35507,95.86,4.39,0.2824,0.1077,4,1,3,0,9.5
31474,124.67,8.7,0.4238,0.1668,10,4,6,0,5.9
41500,196.93,15.88,0.5128,1.1463,15,2,2,11,6.8
38022,125.36,4.07,0.3404,0.1289,1,0,1,0,29.0
83386,2549.94,54.87,3.1238,0.4071,18,0,16,2,5.889
43107,736.52,17.35,1.7488,0.0,0,0,0,0,0.0
19720,1607.06,140.76,8.8632,8.1611,8,1,5,2,0.0
