Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
7686.0,8.01,0.41,0.1095,0.0465,7.0,3.0,0.0,4.0,0.0
2326.0,39.62,5.89,1.9569,5.2365,5.0,1.0,2.0,2.0,2.0
2104.0,177.37,19.79,9.3708,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,137.22,7.8,7.197,0.0,0.0,0.0,0.0,0.0,0.0
1932.0,68.03,7.52,3.9103,0.6211,1.0,0.0,1.0,0.0,0.0
1835.0,63.09,2.73,3.5869,0.0,0.0,0.0,0.0,0.0,0.0
2038.0,47.71,4.92,2.5823,3.6016,5.0,2.0,1.0,2.0,4.6
2398.0,33.05,2.8,1.4952,0.0,0.0,0.0,0.0,0.0,0.0
2129.0,53.39,5.6,2.7706,2.8828,8.0,1.0,2.0,5.0,0.25
2592.0,263.53,1.63,10.2299,11.8827,13.0,0.0,1.0,12.0,8.46
2875.0,50.14,5.66,1.9408,0.3826,1.0,0.0,1.0,0.0,0.0
2796.0,99.58,7.21,3.8195,0.0,0.0,0.0,0.0,0.0,0.0
4824.0,278.96,6.18,5.9109,0.0,0.0,0.0,0.0,0.0,0.0
3992.0,90.63,3.7,2.3631,6.5882,1.0,0.0,0.0,1.0,0.0
3447.0,30.18,9.91,1.163,1.6028,4.0,0.0,3.0,1.0,14.0
3183.0,285.8,15.37,9.4619,7.7233,6.0,1.0,1.0,4.0,5.17
5679.0,163.94,3.9,2.9554,4.3161,9.0,6.0,2.0,1.0,2.22
3095.0,81.05,4.69,2.7704,1.0178,4.0,3.0,1.0,0.0,6.0
2647.0,365.4,13.52,14.3152,0.0,0.0,0.0,0.0,0.0,0.0
2746.0,61.42,7.52,2.5107,0.0,0.0,0.0,0.0,0.0,0.0
4865.0,257.2,22.17,5.7425,0.1028,1.0,1.0,0.0,0.0,0.0
3575.0,169.36,13.48,5.1145,8.021,4.0,1.0,0.0,3.0,0.0
3119.0,137.67,11.77,4.7915,2.1588,3.0,0.0,2.0,1.0,2.33
5154.0,53.52,9.97,1.232,2.5094,6.0,0.0,6.0,0.0,5.0
3562.0,161.98,9.58,4.8161,0.0,0.0,0.0,0.0,0.0,0.0
3970.0,166.84,4.92,4.3263,0.0,0.0,0.0,0.0,0.0,0.0
4018.0,55.9,2.28,1.4479,0.0,0.0,0.0,0.0,0.0,0.0
4028.0,72.64,0.78,1.8228,1.3189,8.0,0.0,3.0,5.0,7.13
4228.0,773.46,7.78,18.4777,10.6433,2.0,0.0,0.0,2.0,0.5
5105.0,95.02,8.65,2.0307,1.5524,24.0,2.0,15.0,7.0,7.83
4137.0,323.29,19.61,8.2887,0.0,0.0,0.0,0.0,0.0,0.0
4503.0,361.34,24.1,8.5598,12.9025,1.0,0.0,0.0,1.0,0.0
8371.0,226.32,18.57,2.9253,0.0,0.0,0.0,0.0,0.0,0.0
4830.0,278.96,4.78,5.8745,0.0,0.0,0.0,0.0,0.0,0.0
5255.0,131.55,3.04,2.561,1.3118,16.0,0.0,4.0,12.0,2.31
5365.0,61.61,0.95,1.1661,1.3793,1.0,0.0,0.0,1.0,2.0
3837.0,121.07,7.71,3.3564,4.8997,2.0,1.0,1.0,0.0,8.0
4492.0,788.06,45.09,18.5473,0.0,0.0,0.0,0.0,0.0,0.0
4867.0,257.2,22.17,5.7402,0.1027,1.0,1.0,0.0,0.0,0.0
7270.0,143.85,1.5,1.9993,10.8448,12.0,1.0,1.0,10.0,1.25
6084.0,248.63,14.61,4.3268,1.9987,5.0,0.0,1.0,4.0,0.0
8305.0,51.44,2.34,0.6476,0.5097,3.0,1.0,2.0,0.0,0.0
6430.0,38.81,1.98,0.6343,0.0,0.0,0.0,0.0,0.0,0.0
5617.0,112.37,2.38,2.0429,0.0,0.0,0.0,0.0,0.0,0.0
2038.0,61.9,1.98,3.1343,8.9794,1.0,1.0,0.0,0.0,9.0
2241.0,261.0,36.3,13.2664,10.8434,1.0,0.0,0.0,1.0,0.0
6235.0,219.95,14.27,3.7566,0.0,0.0,0.0,0.0,0.0,0.0
5491.0,191.71,14.83,3.7615,0.0,0.0,0.0,0.0,0.0,0.0
5390.0,203.57,24.26,4.227,2.9824,4.0,3.0,0.0,1.0,0.0
8220.0,256.38,11.12,3.2544,1.9422,43.0,19.0,10.0,13.0,9.44
8400.0,208.74,11.87,2.6263,3.2619,4.0,2.0,1.0,1.0,0.5
6654.0,40.12,0.02,0.6033,0.3488,29.0,15.0,14.0,0.0,13.79
8397.0,42.97,1.49,0.5295,0.2645,43.0,8.0,14.0,21.0,11.58
5888.0,14.89,0.01,0.253,0.1402,39.0,10.0,0.0,29.0,0.0
6946.0,53.38,0.29,0.7728,0.0,0.0,0.0,0.0,0.0,0.0
7082.0,147.11,7.23,2.1793,2.1576,5.0,0.0,1.0,4.0,2.6
6507.0,108.71,9.4,1.815,0.0,0.0,0.0,0.0,0.0,0.0
6543.0,272.54,15.86,4.4078,5.2089,11.0,6.0,2.0,3.0,0.0
6227.0,223.06,14.62,3.8169,2.2299,7.0,3.0,1.0,3.0,0.0
6793.0,62.13,3.6,0.9676,1.3867,5.0,3.0,0.0,2.0,3.0
11926.0,72.82,2.58,0.6323,1.1518,22.0,4.0,14.0,4.0,0.0
6619.0,104.2,2.82,1.6168,0.4053,17.0,8.0,7.0,2.0,14.0
8275.0,29.65,3.12,0.396,0.2958,50.0,1.0,43.0,6.0,0.0
7816.0,310.64,31.9,4.3824,2.4053,1.0,0.0,0.0,1.0,1.0
4415.0,104.92,1.97,2.4211,0.0,0.0,0.0,0.0,0.0,0.0
7392.0,33.65,2.75,0.4923,0.5073,2.0,1.0,0.0,1.0,2.5
5542.0,293.91,12.0,5.5199,5.5846,2.0,1.0,0.0,1.0,0.0
9683.0,503.58,38.79,5.6013,5.1327,10.0,1.0,2.0,7.0,0.0
8496.0,107.65,6.95,1.3488,0.1295,1.0,0.0,1.0,0.0,0.0
9377.0,155.68,6.25,1.7269,0.8247,6.0,3.0,3.0,0.0,0.33
9230.0,94.44,6.65,1.0952,1.0602,56.0,26.0,5.0,25.0,0.0
9126.0,181.54,19.23,2.1999,1.1002,5.0,3.0,0.0,2.0,14.0
10657.0,126.58,8.6,1.2684,3.0491,17.0,2.0,8.0,7.0,3.41
11734.0,810.25,9.36,6.985,6.6246,9.0,0.0,2.0,7.0,2.56
13552.0,31.04,0.59,0.2333,0.0048,23.0,4.0,7.0,9.0,1.04
8216.0,57.05,2.74,0.7277,0.0,0.0,0.0,0.0,0.0,0.0
9542.0,485.61,25.1,5.3521,6.1203,1.0,0.0,0.0,1.0,0.0
