Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
3565,3260.67,147.67,95.6054,2.6592,5,0,2,3,0.0
7965,286.13,6.35,3.6721,5.4572,3,0,0,3,0.0
8984,53.44,3.08,0.6291,0.141,3,2,1,0,15.333
3467,220.89,15.93,6.8307,3.1247,3,1,2,0,1.667
2063,183.66,1.99,8.9993,1.5511,1,0,1,0,3.0
11323,348.36,10.1,3.1658,1.359,8,6,1,1,17.25
9660,2962.43,12.76,30.7991,6.9979,1,0,0,1,0.0
2199,347.3,4.34,15.9909,12.7331,1,0,0,1,0.0
2131,91.77,5.86,4.5811,4.045,5,0,2,3,1.4
2007,110.96,2.93,5.6747,0.0,0,0,0,0,0.0
2199,11.47,1.09,0.5714,0.0,0,0,0,2,0.0
3211,194.28,3.91,6.1722,0.0,0,0,0,0,0.0
2971,62.05,0.64,2.11,1.1975,19,19,0,0,20.053
2777,168.21,2.0,6.1292,0.0,0,0,0,0,0.0
4582,48.89,2.48,1.1212,1.2222,1,0,1,0,4.0
2984,227.39,10.8,7.9821,0.0,0,0,0,0,0.0
6308,194.95,0.34,3.096,4.8126,19,10,0,9,0.316
8674,441.78,7.5,5.1796,1.1413,2,0,2,0,0.0
7940,55.54,0.42,0.7048,0.1063,50,13,3,34,3.82
2948,82.43,10.03,3.1363,4.8847,1,0,1,0,20.0
4137,175.9,20.29,4.7424,3.0296,3,1,1,1,0.667
4023,52.45,4.89,1.4253,1.305,4,0,3,1,3.25
3855,200.11,11.58,5.4912,0.0,0,0,0,0,0.0
4118,110.88,3.66,2.7813,2.2827,3,2,0,1,3.333
2805,76.63,0.68,2.7562,0.8318,3,0,0,3,1.667
9125,149.64,2.88,1.6714,4.2199,16,0,4,12,0.188
3796,26.27,3.21,0.7766,1.1855,1,0,0,1,0.0
7557,922.83,9.69,12.3399,4.0625,1,0,1,0,2.0
3874,13.67,2.73,0.4235,0.0,0,0,0,0,0.0
4560,75.98,3.51,1.7433,2.701,6,0,1,5,13.667
2107,143.48,4.19,7.0086,11.4143,2,1,0,1,0.0
2953,178.88,5.18,6.233,5.4408,6,0,2,4,4.333
4619,7.98,0.86,0.1914,0.184,20,15,1,4,5.8
6219,12.26,0.06,0.198,0.0607,40,11,0,29,2.575
1891,487.37,26.77,27.1885,44.6589,2,0,2,0,2.5
5529,18.09,0.43,0.3351,0.2904,17,0,0,17,24.471
5681,185.97,13.25,3.5067,3.9918,49,37,0,12,26.204
5010,123.6,0.98,2.4867,0.0,0,0,0,0,0.0
7674,133.8,5.46,1.8147,2.5736,2,1,0,1,0.0
3727,82.07,2.02,2.2562,2.4929,11,0,7,4,3.364
14615,1105.15,13.36,7.6531,4.1635,8,0,8,0,3.625
2054,164.37,11.45,8.5597,10.6621,1,0,0,1,0.0
4055,62.9,2.36,1.6094,2.7713,8,0,6,2,15.0
5628,268.93,60.87,5.86,3.376,4,0,3,1,25.0
