,Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary)
0,3565,3260.67,147.67,95.6054,2.6592,5,0,2,3,0.0,{}
1,7965,286.13,6.35,3.6721,5.4572,3,0,0,3,0.0,{}
2,8984,53.44,3.08,0.6291,0.141,3,2,1,0,15.333,"{'coffeeshoptasik': 3, 'kopitasik': 3, 'kopitasikmalaya': 3, 'kedaikopitasik': 3, 'ngopitasik': 3, 'tasikinfo': 3, 'jajantasik': 3, 'eventtasik': 3, 'eventtasikmalaya': 3, 'otjoehcoffee': 3, 'otjoehcoffeemangin': 3, 'otjoehcoffeesutsen': 3, 'livemusictasik': 3, 'livemusiccoffeeshop': 3, 'harisantri2024': 2, 'weddingvenuetasik': 1, 'weddingvendortasik': 1}"
3,3467,220.89,15.93,6.8307,3.1247,3,1,2,0,1.667,"{'mentorbaik': 2, 'investasi': 1, 'investmentale': 2}"
4,2063,183.66,1.99,8.9993,1.5511,1,0,1,0,3.0,"{'fypã·': 1, 'pestivalbandanaira': 1, 'sorotan': 1}"
5,11323,348.36,10.1,3.1658,1.359,8,6,1,1,17.25,"{'drone': 2, 'dronephotography': 6, 'deonevideo': 1, 'dronevideography': 1, 'videocinematic': 1, 'cinematicvideo': 1, 'cinematicphotography': 1, 'aerialphotography': 6, 'aerialvideography': 1, 'karawanghits': 2, 'karawang_kekinian': 1, 'karawanginfo': 1, 'karawangkekinian': 2, 'karawang': 2, 'djiglobal': 3, 'djiindonesia': 4, 'djiphotography': 2, 'djivideography': 1, 'instanusantara': 8, 'instanusantarakarawangbekasi': 6, 'instanusantara1901': 1, 'instanusantarakarawangbekasi1901': 1, 'cika_rangers': 6, 'pohon': 1, 'simplephotography': 1, 'naturalphotography': 1, 'naturalphoto': 1, 'landscapephotography': 6, 'dji': 4, 'instanusantara3258': 1, 'instanusantarakarawangbekasi3258': 1, 'karawangviral': 1, 'dronestagram': 4, 'aerialphoto': 1, 'landscape': 2, 'landscapelovers': 1, 'instanusantara7629': 1, 'instanusantarakarawangbekasi7629': 1, 'lanscapephotography': 1, 'landscape_lovers': 1, 'aerial': 2, 'dronevideo': 1, 'instanusantara2013': 2, 'instanusantarakarawangbekasi2013': 1, 'instanusantarasukabumicianjur': 1, 'instanusantarasukabumicianjur2013': 1, 'landacape': 1, 'landscapers': 1, 'pesawahan': 1, 'pesawahandesa': 1, 'instanusantarajakarta': 1, 'instanusantara5027': 1, 'instanusantarajakarta5027': 1, 'injkt': 1, 'ubsj_268': 1, 'fromabove': 1, 'landsacape': 1, 'aerialnature': 1, 'beento': 1, 'kfconcept': 2, 'instanusantara7313': 1, 'instanusantarakarawangbekasi7313': 1, 'weeklychallangeinkarasi193': 1, 'gigihiu': 2, 'gigihiulampung': 2, 'gigihiukelumbayan': 2, 'landscaper': 2, 'seascape': 2, 'seascapephotography': 2, 'naturephotography': 2, 'pesonaindonesia': 2, 'like': 2, 'likesforlike': 2, 'instanusantara5705': 1, 'instanusantarakarawangbekasi5705': 1, 'inubs_banggain190': 1}"
6,9660,2962.43,12.76,30.7991,6.9979,1,0,0,1,0.0,{}
7,2199,347.3,4.34,15.9909,12.7331,1,0,0,1,0.0,{}
8,2131,91.77,5.86,4.5811,4.045,5,0,2,3,1.4,"{'weeweeweeallthewayhome': 2, 'iamtheacademy': 1, 'blessed': 1, 'fypã·': 1, 'bah': 1, 'croisant': 1}"
9,2007,110.96,2.93,5.6747,0.0,0,0,0,0,0.0,{}
