Username,Followers,Average Likes,Average Comments,Average Engagement Rate,Engagement Rate (60 Days),Posting frequency (last 60 days),Posts (image),Posts (videos),Posts (carousel),Average Hashtags / Post (60 Days),Hashtags (dictionary)
jokowi,47352198,458723.76,4422.62,0.9781,0.4896,132,9,34,89,0,{}
princessyahrini,39581466,118171.13,692.59,0.3003,0.0018,4,0,0,4,2.5,"{'princessyahrini': 3, 'princessrturns3month': 1, 'singapore_november2024': 1, 'princsessyahrini': 1, 'singapore_october2024': 3, 'princessrturnstwomonth': 1}"
ruben_onsu,38776943,139324.51,763.73,0.3613,0.1303,100,42,44,14,1.94,"{'rubenonsu': 34, 'bensu': 9, 'realbensu': 22, 'rezekigakketuker': 8, 'janganlupabahagia': 8, 'jalani_nikmati_syukuri': 7, 'brownisttv': 7, 'justruben': 26, 'senyuminaja': 5, 'sw': 1, 'sarwendah': 1, 'ghostober2024': 1, 'sisiduniamop': 1, 'mopchannel': 2, 'onsfitbyrubenonsu': 1, 'byelemak': 1, 'tubuhideal': 1, 'ghostober': 3, 'merekaadadisini': 1, 'doubleextreme': 1, 'katakatamutiara': 4, 'meyouandall': 4, 'tiktok': 1, 'tiktokshop': 1, 'tiktokpaydaysale': 1, 'tiktokpayday': 1, 'betrandputraonsu': 5, 'thaliaputrionsu': 5, 'thaniaputrionsu': 5, 'lestykejora': 1, 'nassar': 1, 'udangdibalikbatu': 1, 'beforeafterai': 1, 'ai': 1, 'rendang': 1, 'skincareviral': 1, 'tiktokshoprubenonsu': 1, 'tiktokshopguncang1010': 1, 'tiktokguncang1010': 1, 'jajananviralbandung': 1, 'bandung': 1, 'respect': 2, 'likaliku': 1, 'infotainmentaward2024': 1, 'infotainmentawards2024': 3, 'infotainmentawards': 1, 'sctvspesial': 2, 'panencabai': 1, 'villadavina': 1, 'thebestvilla': 1, 'senyuminja': 1, 'ia': 1}"
gisel_la,36318320,152328.63,2451.69,0.4262,0.22,83,8,46,29,1.867,"{'gempiajaib': 4, 'modalnekad': 3, 'filmmodalnekad': 3, 'susuawetmuda': 1, 'haiapakabar': 6, 'justforfunjustforlaugh': 1, 'dipikirpikirkokjalanmulu': 1, 'cantikekonomis': 5, 'realitakehidupan': 1, 'hidupiniindah': 1, 'penuhdenganwarna': 1, 'mamaiselbecanda': 2, 'justkiddingjustforlaugh': 2, '6ergerak': 2, 'madamegie': 4, 'madame6ergerak': 2, 'mataharibukanmusuh': 2, 'gisel': 5, 'newrelease': 1, 'mv': 1, 'musicvideo': 1, 'digitalstreaming': 1, 'youtube': 1, 'channel': 1, 'labelprom': 5, 'releasesoon': 4, 'happympi': 5, 'blessed': 6, 'grateful': 7, 'disneymagic': 1, 'liburannyampi': 6, 'latepost': 7, 'dazzcam': 1, 'blur': 1, 'eiffeltoweratnight': 1, 'pasnyamadurasa': 3, 'ytta': 1, 'run': 1, 'running': 1, 'runners': 1, 'wondrjakartarunningfestival': 1, 'jakartarunningfestival': 1, 'gofit': 1, 'gofiters': 1, 'memories': 1, 'girlies': 1, 'wheninamsterdam': 1, 'berlintoamsterdam': 1, 'berlin': 1, 'barusempat': 1, 'simbacereal': 2, 'simbachocochips': 2, 'jagonyasereallokal': 2, 'captainchips': 2, 'berlinmarathon2024': 4, 'madurasa': 1, 'maduasli': 1, 'giselanastasia': 1, 'welcometonberlin': 1, 'marathoner': 1, 'keeprunning': 1, 'inspiretorun': 1, 'nextraceloading': 1, 'shakeoutrun': 1, 'museumofsensesprague': 1, 'prague': 1, 'repost': 1, 'mpirunwaydebut': 1, 'ijustwannabepartofyoursymphony': 1, 'morningrun': 1, 'bangkok': 1, 'gempita': 1, 'untungnyahidupterusberjalan': 1, 'sportsclinic': 1, 'wellness': 1, 'marathon': 1, 'injuryrehabilitation': 1, 'sportsperformance': 1, 'welsprosportsclinicandperformance': 1, 'welsprosurabaya': 1, 'ciputrahospitalsurabaya': 1, 'cihos': 1, 'chs': 1, 'surabaya': 1, 'katakatahariini': 1}"
lunamaya,34486065,145525.51,948.45,0.4247,0.2491,98,5,56,37,1.735,"{'prada': 2, 'winterfantasy': 1, 'yslbeautyid': 3, 'yslholiday': 2, 'nontondiwetv': 2, 'wetvindonesia': 2, 'wetvoriginal': 2, 'lunamaya': 10, 'dariussinathrya': 2, 'marcelinolefrandt': 2, 'audimarissa': 2, 'mainapi': 2, 'aloid': 1, 'abovebeyond': 2, 'marinabaysands': 2, 'ad': 1, 'boredtobold': 1, 'yslbeauty': 2, 'womenleadershipconference': 4, 'herworldindonesia': 2, 'babyshower': 1, 'amadeussinemagna': 3, 'gjls': 3, 'gjlsibukuibuibu': 2, 'gjlsentertainment': 3, 'montytiwa': 3, 'anantarispo': 1, 'rigenrakelna': 1, 'hifdzikhoir': 1, 'nadyaarina': 2, 'amadeusinemagna': 3, 'kulonprogo': 1, 'halloween': 1, 'ibukuibuibu': 1, 'bvlgari': 1, 'bvlgarijewelry': 1, 'serpenti': 1, 'vinotiliving': 1, 'lancomeid': 1, 'genifique': 1, 'lux99years': 2, 'luxid': 2, 'jfw2025': 1, 'friendstivity': 1, 'friendsofcreativity': 1, 'tsmedia': 4, 'sekolahsukses': 1, 'danielmanantanetwork': 1, 'temukansadarmu': 6, 'tsx2024': 4, 'sustainability': 2, 'kertasive': 1, 'monostar': 1, 'interiorkantor': 1, 'pemasanganmudah': 1, 'transformasikantor': 1, 'desaininterior': 1, 'kantormodern': 1, 'interiorfilm': 1, 'spcmonostar': 1, 'interiordesign': 1, 'studio': 1, 'ecofrentsx2024': 1, 'mariannerumantir': 1, 'panaroma': 1, 'music': 1, 'sumala': 8, 'filmsumala': 4, 'hitmakedstudios': 1, 'ayudewi': 1, 'ayudewistory': 1, 'friends': 1, 'comedy': 1, 'tumbuhkebaikan': 1, 'togetherpossible': 1, 'katespade': 1, 'uniqlo': 1, 'uniqloflannel': 1, 'hitmakerstudios': 3, 'iamlibre': 1, 'ysllibre': 1, 'hicelebmagazine': 3, 'tixid': 1, 'bioskop': 1, 'jadwalbioskop': 1, 'bstarverse': 1, 'bts': 1, 'nyamanbersekolah': 3, 'hicelebcoverstar': 1, 'cover': 1, 'yayasanlunamayanawasena': 1, 'aldosinarta': 1, 'aloindonesia': 3, 'saturdaymorningride': 1, 'valiram': 1, 'imaa2024': 1, 'indonesianmovieactorsawards': 1, 'arisancendol': 1, 'gengcendol': 1}"
luxxy_made,1245315,164240.73,1246.38,13.2888,0.2431,1,0,0,1,3,"{'mengukirsejarah': 1, 'indopride': 1, 'pmgc2024': 1}"
jonathanliandi,1808490,70429.07,1255.41,3.9638,0.2944,5,1,4,0,2.8,"{'greaterthanever': 1, 'mlbbm6': 1, 'm6nyalaindonesia': 1, 'mlbb8th': 1, 'kesenangantanpa8atas': 1, 'bolehbangjetzonfire': 2, 'jetzxindomaret': 1, 'onfire': 1, 'jetz': 1, 'lenovoid': 1, 'legionslim5i': 1, 'intel': 1, 'sponsor': 1}"
roses_are_rosie,80883913,3674629.51,16979.32,4.5641,5.2609,26,7,9,10,0.192,"{'pachinko': 1, 'appletv': 1, 'rosie': 2, 'dec6th': 1}"
anastasyakh,1937513,,,,4.0229,4,0,1,3,0.75,"{'greaterthanever': 1, 'mlbbm6': 1, 'm6nyalaindonesia': 1}"
imouniroy,33412540,272957.06,1596.6,0.8217,0.692,47,1,11,35,1.191,"{'drools': 3, 'dogs': 3, 'pets': 2, 'teamtyagi': 1, 'theweekthatwas': 1, 'is': 1, 'workworkwork': 1, 'throwback': 1, 'realmadridvsbarcelona': 1, 'rmvsbarca': 1, 'elclassico': 1, 'nomnom': 1, 'remains': 1, 'spawake': 1, 'bbcream': 1, 'makeup': 1, 'festive': 1, 'foundation': 1, 'jbeauty': 1, 'moisture': 1, 'ad': 1, 'petfood': 1, 'karwachauth': 1, 'bazaarwomenoftheyear': 1, 'gratefulforem': 1, 'droolsindia': 2, 'treats': 1, 'fusioncuisinerestaurantoftheyear': 1, 'shubhomahaashtami': 1, 'navratrinights': 1, 'cocoboduhithi': 3, 'cococollection': 3, 'cocomaldives': 3, 'cocollectionmaldives': 3, 'cocoresidence': 1, 'furrylove': 1, 'bestfriend': 1, 'grateful': 1, 'thankful': 1, 'blessed': 1, 'birthdaygateway': 1, 'love': 1}"
