Username,Followers,Average Likes,Average Comments,Average Engagement Rate,Engagement Rate (60 Days),Posting frequency (last 60 days),Posts (image),Posts (videos),Posts (carousel),Average Hashtags / Post (60 Days),Hashtags (dictionary)
rusimpicture,29458,2302.87,70.11,8.0555,4.5531,4,0,4,0,0.75,"{'menggambar': 1, 'sketching': 1, 'drawing': 1}"
kenmeri29,32266,3163.64,32.8,9.9065,7.0389,68,5,0,63,22.162,"{'weeb': 50, 'weebs': 50, 'otaku': 50, 'otakus': 50, 'manga': 50, 'mangaart': 50, 'mangadrawing': 50, 'romcom': 50, 'romcommanga': 50, 'romancemanga': 50, 'mangaromance': 50, 'sliceoflife': 50, 'sliceoflifemanga': 50, 'schoollifemanga': 50, 'comedymanga': 48, 'wholesomemanga': 49, 'gal': 12, 'gyaru': 12, 'highschoolromance': 7, 'dramamanga': 10, 'peak': 47, 'peakfiction': 47, 'toogoodtobetrue': 45, 'bestgirl': 45, 'tsundere': 9, 'schooltransfer': 1, 'familydrama': 2, 'mangarecommendations': 48, 'mangarecommendation': 49, 'itoowishiwasntsuchacrybaby': 1, 'godiwishthatwereme': 6, 'mangaadaptation': 31, 'fuufuijoukoibitomiman': 1, 'akariwatanabe': 1, 'morethanamarriedcouplebutnotlovers': 1, 'thisisthetypeofshitisignupfor': 1, 'tomboy': 1, 'boyishgirl': 1, 'childhoodfriends': 12, 'osananajimi': 12, 'littlesister': 4, 'imouto': 4, 'theydonebestwingmansodirtynooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo': 1, 'foreigngirls': 1, 'rizz': 1, 'chad': 2, 'pog': 1, 'lightnovel': 24, 'iwillhavemypediatricrotationsinacouplemonthsfromnowandimightbefucked': 1, 'lethimcook': 1, 'cookingmanga': 2, 'officeromance': 2, 'coworkerromance': 2, 'unreal': 1, 'newmanga': 18, 'ifcookingreeaaaaallycanrizzanyonethateasily': 1, 'harem': 5, 'lovetriangle': 8, 'mangaka': 2, 'nooooooooopeaaaaaaaaakcensorshippuuuuuuuuuuuuuuuuu': 1, 'marriedcouple': 3, 'beachepisode': 2, 'nonutnovember': 1, 'doubledate': 1, 'peaaaaaaaaaaakcensorshiiiiiiiiiiiippuuuuuuuuuuu': 1, 'oshinoko': 2, 'aquahoshino': 2, 'rubyhoshino': 1, 'kanaarima': 1, 'akanekurokawa': 2, 'bruh': 4, 'ojousama': 2, 'deredere': 12, 'howmanypeoplewillconfusethese2asmasachikaandalya': 1, 'newlyweds': 2, 'seggs': 3, 'husbandandwife': 2, 'hellyeah': 1, 'itisquitewildthatsomeofmyfriendsarestartingtogetintorelationshipsnowadaysandsomeevengotmarriedalready': 1, 'bluebox': 2, 'aonohako': 2, 'toolate': 1, 'yousnoozeyoulose': 1, 'boowomp': 1, 'schoolmadonna': 5, 'highschoolcrush': 1, 'ilovemakingfakestoriesandfoolpeopleintothinkingihavearomcomlikeexperienceinreallife': 1, 'iwouldvedomesomethingsimilarlikewhatthemcdidherebackthenbutthepandemicwasathingsadly': 1, 'alamak': 1, 'hellohowareyouimunderthewaterplzhelpme': 1, 'haremmanga': 2, 'thisisthetypeofscenarioiimaginedbeforeisleepbackinmiddleschool': 1, 'rejected': 4, 'rejection': 3, 'bruhmoment': 8, 'feverdream': 1, 'heartbreak': 1, 'theydidmyboysoooooodirtydamnyouauthorfuuuuuuuuuuuuuuuuuuuuuuuuuuuccccckkkkk': 1, 'someromcomencountersaretoogoodtobetruebutoddlyenough': 1, 'ntr': 1, 'dumpsterfire': 1, 'peakdumpsterfire': 1, 'ilovedumpsterfireseriesraaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa': 1, 'friendzone': 2, 'friendzoned': 2, 'fallinlove': 3, 'thischapterunlockedanoldmemoryfrom2022anditweakedthefuckoutforafewminuteswhenireadittoday': 1, 'ilovespreadingmisinformation': 1, 'mahirushiina': 1, 'amanefujimiya': 1, 'otonarinotenshi': 1, 'ototenshi': 1, 'theangelnextdoorspoilsmerotten': 1, 'otonarinotenshisamaniitsunomanikadameningennisareteitaken': 1, 'iratherbecomekamenridervalenthangettingchocolatesduringvalentine': 1, 'ineedthatacademiccomebackwaymorethanineedagirlfriend': 1, 'newserieslikethisreallybrightenupashittydayliketodayngl': 1, 'fallinginlove': 3, 'crush': 1, 'imakamenridernotaromcommcraaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa': 1, 'gapmoe': 3, 'thisthetypeofshitthatcanburnanincelaliveandimallforit': 1, 'kuudere': 4, 'inferioritycomplex': 1, 'wehaveanewgyaruthemedseriesandofcourseiwillbethereandiwillbereading': 1, 'slowburnromance': 1, 'bookworm': 2, 'irememberbackinhighschoolwhenmyromcomaddictionislikemynumberonesecretthatnooneshouldeverknow': 1, 'sonobisquedollwakoiwosuru': 1, 'mydressupdarling': 1, 'marinkitagawa': 1, 'gojowakana': 1, 'glassesgirl': 1, 'folding': 1, 'hasanyoneevertriedrizzingabookwormgirlbysayingyoureadall30plusofalltheavailablerentagirlfriendmangavolumesbacktobackreligiously': 1, 'officeworker': 1, 'mangakas': 1, 'seinenmanga': 2, 'imtoooldforschoollifeorcollegeliferomancebutimdefinitelyoldenoughforajobsettingromcomsosignmein': 1, 'iloveromcomsthathaveadultproblemsandrealisticpremisesraaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa': 1, 'firsttime': 1, 'kiss': 1, 'imclosetopassingoutandevenmybraincantkeepupwiththelightningfastpacing': 1, 'bythispoint': 1, 'finthechat': 1, 'pasttrauma': 1, 'ifihavetoputmyselfinmcsshoes': 1, 'yankeegirl': 1, 'mygapmoeaddictionisasstrongaspeoplesdesiretocompareanyromcomswithdevelopmentwithrentagirlfriendandshitonthelatter': 1, 'isthishowilookedlikebackthen': 1, 'maid': 1, 'whenjapanstopsmakingchildhoodfriendlose': 1, 'fucktsundere': 1, 'gyarugirl': 1, 'twintails': 1, 'bigsister': 1, 'oneechan': 1, 'brocon': 1, 'brothercomplex': 1, 'boing': 1, 'thepostbullyingglowupisinsanethoholyshit': 1, 'dating': 1, 'raaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa': 1, 'lockdown': 1, 'pandemicromance': 1, 'makingfriendduringthelockdownerawwassomeofthehardestthingtodobecauseagoodnumberofpeoplehasliveleakcamquality': 1, 'man': 1, 'confession': 1, 'collegeromance': 3, 'firstkiss': 2, 'webmanga': 1, 'anotherserieshasmadeamajordevelopment': 1, 'yandere': 1, 'iwishicanbethissmoothbutalliendupgettingwasbeintscaredofwomen': 1, 'imaynothaverizzbutatleastihaveromcomaddictionwithme': 1, 'oldergirls': 3, 'ifigetadollarforeverytimeireadorwhataseriesthathasthegirlteasingtheboyshelikes': 1, 'rejecti': 1, 'sisterzone': 1, 'sisterzoned': 1, 'wompwomp': 1, 'press1': 9, 'becomesogoodatcookinganddoinghousechoreswhilemaintainingthatmeanlookandbam': 1, 'psychologicalmanga': 1, 'thistypeofpacingscaresmengl': 1, 'oneesan': 2, 'imcollectingpeoplethatexperienceromcomlikestoriesinreallifelikeimcollectingpokemonortheinfinitystoneswahahahahahahahahahahahahahahahahahahahahahahahah': 1, 'icanthelpbutnoticethathermelonskindagrewquiteabitcomparedtothefirstchapter': 1, 'breakup': 1, 'jealousy': 1, 'couple': 1, 'seinen': 1, 'kanojoniuwakisareteitaoregakoakumanakouhaininatsukareteimasu': 1, 'whenaromanticrelationshipbetweenagirlandaboyisestablished': 1, 'fallinginloveisscarybruuuuuuh': 1, 'situationship': 1, 'friendstolovers': 1, 'bestfriendstolovers': 1, 'please': 1, 'scifimanga': 1, 'postapocalyptic': 1, 'postapocalypticromance': 1, 'ohhhhhhmaaaaaaaaan': 1, 'ameteorannihilatedearthyousay': 1, 'dingintapitidakkejam': 1, 'howdoibecomearomcommcbro': 1, 'iwannabearomcommcthatislikemasachikaorthismcrightherenotlikekazuya': 1, 'eitherthingsgocompletelyyourwaylikemchereoryoullgetarestrainingorderormarkedasasexoffender': 1, 'alisamikhailovnakujou': 1, 'yukisuou': 1, 'roshidere': 1, 'tokidokibosottorussiagodedererutonarinoaarya': 1, 'alyasometimeshidesherfeelingsinrussian': 1, 'iwannapullthatahogesobadlyjusttoseehowshedreacted': 1, 'wehave2childhoodfriendcharactersinromcomthatiscalledlemon': 1}"
motionimefest,82084,7772.29,606.35,10.2074,7.5431,73,36,22,15,6.014,"{'mif': 57, 'mif2024': 72, 'motionime': 64, 'motionimefest': 71, 'motionimefest2024': 68, 'motionimefestival': 35, 'motionimefestival2024': 32, 'charityevent': 2, 'motionime2024': 16, 'eventcharity': 1, 'charity': 1, 'ariderion': 1, 'readyformif2024': 2, 'motioninefest2024': 4, 'motionimefestfest': 1, 'alfachri': 1, 'heiakim': 1, 'heiakimmusic': 1, 'davidbeat': 1, 'lilchindoboi': 1, 'geraldxliu': 1, 'hok': 1, 'honorofkingsindonesia': 1, 'tiketcom': 1, 'erickolim': 1, 'luthfihalimawan': 1, 'alditaher': 1}"
nyunzkychan,74067,1302.33,10.61,1.7727,3.0027,1,0,0,1,28,"{'nyunzkychan': 1, 'asianboy': 1, 'manstyle': 1, 'menstyle': 1, 'asianmen': 1, 'asianman': 1, 'photoshoot': 1, 'photography': 1, 'photo': 1, 'photooftheday': 1, 'photogram': 1, 'asianstyle': 1, 'photographers': 1, 'hairstyle': 1, 'manhairstyle': 1, 'zara': 1, 'giuseppezanotti': 1, 'gucci': 1, 'gucciwatch': 1, 'happiness': 1, 'life': 1, 'lifestyle': 1, 'lifequotes': 1, 'mensfashion': 1, 'manfashion': 1, 'fashion': 1, 'fashionblogger': 1, 'fashionstyle': 1}"
comifuro,88112,2263.41,74,2.6528,2.5223,67,50,5,12,2,"{'cfxx': 1, 'comifuro19': 81, 'vtuberidawards': 2, 'vtuberidawards2024': 1, 'cf19': 9, 'gocpay': 1, 'gocxtheragnarok': 1, 'labubu': 1, 'lunaheroes': 1, 'pointblank': 1, 'theragnaroksea': 1, 'jewelbox': 1, 'yukosuzuhana': 1, 'upiko': 1, 'eventeksklusif': 1, 'meetandgreet': 1, 'sesitandatangan': 1, 'icebsd': 1, 'merchandiseeksklusif': 1, 'pengalamanfan': 1, 'goldticketmagic': 1, 'withm231': 1, 'muse': 3, 'museevent': 3, 'semuaserudicgv': 1, 'frierenbeyondjourneysend': 1, 'frieren': 1, 'kny': 1, 'demonslayer': 1, 'comifuro': 2, 'ditusiofficial': 1, 'growupwithsociety': 1, 'akaaturservicecf19': 2, 'akaxcf19': 2, 'comicfrontier19': 3, 'tgs2024': 1}"
juanowenn,40343,5827.9,70.26,14.62,5.6443,50,0,50,0,2.42,"{'kulinerbandung': 6, 'bacailte': 1, 'bakedfood': 1, 'wingzowingz': 1, 'kuliner': 38, 'baksorusuksamanhudi': 1, 'friedchicken': 1, 'cheesecake': 1, 'rushcake': 1, 'jatinangorhouse': 1, 'bakwanmalang99': 1, 'mamilanakitchen': 1, 'kepitingsumo': 1, 'tjapajam38': 1, 'baksobintangasia': 1, 'ayamgepukpakgembus': 1, 'baksotjaphaji': 1, 'sumomatsu': 1, 'chickenkatsu': 1, 'gadingserpong': 1, 'kulinergadingserpong': 1, 'sukiyaki': 1, 'sukiyakibeef': 1, 'wagyu': 1, 'laboankopitiam': 1, 'warungnasiraffiahmad': 1, 'nasigorengnagih': 1, 'ramen': 1, 'kyukaramen': 1, 'nasikapau': 2, 'bakso': 1, 'jajanbakso': 1, 'baksosapi': 1, 'baskosapi98singkawang': 1, 'tsukaramen': 1, 'phd': 1, 'pizza': 1, 'dimsumsembilanayam': 1, 'pepperinopizza': 1, 'kedaimalabar': 1, 'shigeru': 1, 'fadiljaidi': 1, 'trafficbun': 1, 'miebangladesh': 2, 'warungbangbento': 1, 'katsunyaka': 1, 'crisbar': 1, 'ayamgorengcabeijo': 1, 'woodyicecream': 1, 'warkopgadingagam': 1, 'ayce': 1, 'anigrerestaurant': 1, 'kulinerbogor': 1, 'tehtarikmenarik': 1, 'masakanpadang': 1, 'pagisore': 1, 'tokoyoramen': 1, 'japanesefood': 1, 'shopeecheckoutmurah': 1, 'shopeefood': 1, 'fishstreat': 1, 'jambokupi': 1, 'ayahhebat': 1, 'workingdad': 1, 'fiestareadytogo': 1, 'cibiukresto': 1, 'bihunku': 1, 'baksomalangkarapitan': 1, 'benjaminsteak': 1, 'babipanggang': 1, 'gohanku': 1, 'nasitelor': 1, 'ngikan': 1, 'rachelvennya': 1, 'snackviral': 1, 'hackviral': 1, 'taokaenoi': 1}"
jajanranger,60606,6891.32,155.89,11.6279,10.0559,50,1,49,0,0,{}
riky_edo,80279,3381.91,394.36,4.7039,0.0075,1,0,1,0,-,-
fdc.jabodetabek,19444,12.79,2.4,0.0781,0,0,0,0,0,-,-
nicholasaja_,61174,11979.53,76.17,19.7072,16.1523,21,0,19,2,0.19,"{'wacoaltravelbra': 1, 'spacesaver': 1, 'mrwunderwear': 1, 'wacoalindonesia': 1}"
